course_id,skill_id,score,matched_by
udemy2_881660,esco_295,1.014,embedding
udemy2_2728390,esco_817,1.0138,embedding
udemy2_1966456,esco_1344,1.0133,embedding
udemy2_1534668,esco_174,1.0132,embedding
udemy2_1639822,esco_1582,1.0132,embedding+keyword
udemy2_2351974,esco_1582,1.0128,embedding+keyword
udemy1_9920,esco_1248,1.0127,embedding
udemy2_131162,esco_1360,1.0127,embedding
udemy1_383,esco_224,1.0126,embedding+keyword
udemy2_1172258,esco_891,1.0124,embedding+keyword
udemy2_3201890,esco_1151,1.0124,embedding
udemy1_7091,esco_224,1.0124,embedding+keyword
udemy2_2167728,esco_156,1.0122,embedding
udemy2_1063022,esco_604,1.0116,embedding
udemy2_2240210,esco_107,1.0116,embedding+keyword
udemy2_2146670,esco_174,1.0116,embedding
udemy1_10590,esco_175,1.0113,embedding
udemy2_1027446,esco_174,1.0112,embedding
udemy1_6342,esco_1582,1.011,embedding+keyword
udemy1_3706,esco_224,1.0109,embedding+keyword
udemy2_451360,esco_604,1.0104,embedding
udemy2_2394920,esco_1582,1.01,embedding+keyword
udemy1_40105,esco_303,1.0099,embedding
udemy1_2686,esco_224,1.0095,embedding+keyword
udemy1_36477,esco_307,1.0094,embedding
udemy1_1359,esco_224,1.0093,embedding+keyword
udemy2_1807540,esco_174,1.0091,embedding
udemy1_24723,esco_1023,1.0088,embedding+keyword
udemy1_6797,esco_1878,1.0086,embedding+keyword
udemy1_39392,esco_903,1.0085,embedding+keyword
udemy1_7053,esco_1878,1.0085,embedding+keyword
udemy2_2363070,esco_491,1.0084,embedding+keyword
udemy2_3334108,esco_1455,1.0082,embedding+keyword
udemy1_6492,esco_1582,1.0077,embedding+keyword
udemy2_2036786,esco_889,1.0059,embedding+keyword
udemy1_4144,esco_869,1.0055,embedding
udemy1_8328,esco_224,1.0053,embedding+keyword
udemy2_1612528,esco_1878,1.0051,embedding+keyword
udemy2_2343466,esco_891,1.0045,embedding+keyword
udemy1_3057,esco_1582,1.0044,embedding+keyword
udemy2_2015124,esco_1455,1.0037,embedding+keyword
udemy2_3403694,esco_1582,1.0036,embedding+keyword
udemy1_7905,esco_1582,1.0035,embedding+keyword
udemy2_2268302,esco_1483,1.0034,embedding
udemy2_2268302,esco_714,1.0034,embedding+keyword
udemy2_1757938,esco_527,1.0034,embedding
udemy1_42742,esco_1328,1.0033,embedding
udemy2_1691576,esco_1582,1.0031,embedding+keyword
udemy1_27009,esco_85,1.0026,embedding+keyword
udemy2_1910268,esco_1878,1.0025,embedding+keyword
udemy1_9294,esco_126,1.0023,embedding+keyword
udemy2_905246,esco_889,1.0022,embedding+keyword
udemy1_38034,esco_1087,1.0022,embedding+keyword
udemy2_2157924,esco_1076,1.002,embedding+keyword
udemy2_732516,esco_1646,1.0019,embedding
udemy2_1757872,esco_1843,1.0013,embedding+keyword
udemy2_3251732,esco_224,1.0009,embedding+keyword
udemy1_4954,esco_673,1.0009,embedding+keyword
udemy2_2230014,esco_941,1.0009,embedding
udemy2_264036,esco_996,1.0006,embedding+keyword
udemy2_3011878,esco_1963,1.0004,embedding
udemy1_6472,esco_1582,1.0002,embedding+keyword
udemy1_44330,esco_903,1.0001,embedding+keyword
udemy2_2673824,esco_1878,0.9996,embedding+keyword
udemy2_3373886,esco_471,0.9994,embedding+keyword
udemy2_1202986,esco_295,0.9993,embedding
udemy2_1102290,esco_598,0.9992,embedding
udemy2_1313828,esco_891,0.9989,embedding+keyword
udemy1_43304,esco_1245,0.9988,embedding
udemy2_1651618,esco_295,0.9984,embedding
udemy2_475022,esco_129,0.9984,embedding+keyword
udemy1_142,esco_1582,0.9983,embedding+keyword
udemy2_1648394,esco_604,0.9982,embedding
udemy1_37584,esco_379,0.9979,embedding+keyword
udemy2_608250,esco_1483,0.9979,embedding+keyword
udemy2_1640882,esco_1582,0.9978,embedding+keyword
udemy1_5467,esco_295,0.9978,embedding
udemy2_2413252,esco_176,0.9976,embedding
udemy1_9920,esco_491,0.9976,embedding+keyword
udemy1_39700,esco_1187,0.9976,embedding
udemy2_628796,esco_891,0.9975,embedding+keyword
udemy1_3733,esco_730,0.9973,embedding
udemy1_39169,esco_881,0.9971,embedding+keyword
udemy2_2331838,esco_295,0.9968,embedding+keyword
udemy1_4985,esco_1582,0.9968,embedding+keyword
udemy1_21463,esco_1804,0.9966,embedding+keyword
udemy1_2123,esco_1412,0.9962,embedding+keyword
udemy1_670,esco_1582,0.9959,embedding+keyword
udemy2_2467186,esco_224,0.9958,embedding+keyword
udemy2_3162746,esco_491,0.9956,embedding+keyword
udemy2_2228272,esco_1843,0.9956,embedding+keyword
udemy1_3562,esco_604,0.9956,embedding
udemy1_20073,esco_589,0.995,embedding+keyword
udemy2_1195820,esco_1582,0.9945,embedding+keyword
udemy1_2758,esco_604,0.9942,embedding
udemy1_8763,esco_1582,0.994,embedding+keyword
udemy2_1691848,esco_604,0.9939,embedding
udemy2_865984,esco_1925,0.9931,embedding+keyword
udemy1_9526,esco_1582,0.9928,embedding+keyword
udemy1_2364,esco_1582,0.9926,embedding+keyword
udemy1_38995,esco_1921,0.9925,embedding
udemy2_2079968,esco_1691,0.9923,embedding
udemy1_43563,esco_1546,0.992,embedding
udemy1_4222,esco_224,0.9917,embedding+keyword
udemy1_1096,esco_126,0.9916,embedding+keyword
udemy2_1656110,esco_1713,0.9915,embedding
udemy2_2403130,esco_847,0.9913,embedding
udemy2_3258612,esco_1598,0.991,embedding
udemy1_41187,esco_1966,0.9908,embedding
udemy1_39392,esco_307,0.9906,embedding
udemy1_7833,esco_1582,0.9905,embedding+keyword
udemy2_1090766,esco_510,0.9902,embedding+keyword
udemy1_8201,esco_224,0.99,embedding+keyword
udemy1_1573,esco_1582,0.9898,embedding+keyword
udemy1_42528,esco_307,0.9892,embedding
udemy1_6631,esco_538,0.9889,embedding+keyword
udemy1_5220,esco_491,0.9888,embedding+keyword
udemy1_39892,esco_378,0.9887,embedding
udemy1_9859,esco_604,0.9887,embedding
udemy2_2394848,esco_98,0.9886,embedding
udemy1_6411,esco_922,0.9885,embedding
udemy1_37159,esco_1751,0.9884,embedding+keyword
udemy1_1090,esco_1455,0.9879,embedding+keyword
udemy1_2578,esco_491,0.9878,embedding+keyword
udemy2_3256626,esco_224,0.9878,embedding+keyword
udemy1_4458,esco_224,0.9878,embedding+keyword
udemy1_2369,esco_604,0.9878,embedding
udemy1_9553,esco_224,0.9873,embedding+keyword
udemy2_709444,esco_295,0.9869,embedding+keyword
udemy1_28137,esco_1949,0.9867,embedding
udemy1_27885,esco_1023,0.9866,embedding+keyword
udemy1_43528,esco_107,0.9865,embedding+keyword
udemy1_20297,esco_1804,0.9863,embedding+keyword
udemy2_2735532,esco_1925,0.9862,embedding
udemy2_1386242,esco_1709,0.986,embedding
udemy2_1615308,esco_1355,0.9859,embedding
udemy1_22011,esco_1804,0.9858,embedding+keyword
udemy2_438736,esco_900,0.9857,embedding+keyword
udemy1_39250,esco_252,0.9855,embedding
udemy1_42742,esco_71,0.9854,embedding
udemy2_2385176,esco_1691,0.9854,embedding
udemy1_36788,esco_1273,0.9853,embedding
udemy1_6640,esco_1333,0.9853,embedding+keyword
udemy1_40320,esco_903,0.9853,embedding+keyword
udemy1_43333,esco_903,0.9852,embedding+keyword
udemy2_2616086,esco_1582,0.9846,embedding+keyword
udemy1_5614,esco_1582,0.9845,embedding+keyword
udemy2_131162,esco_1300,0.9844,embedding
udemy2_264036,esco_295,0.9843,embedding
udemy1_26145,esco_85,0.984,embedding+keyword
udemy2_1564552,esco_174,0.984,embedding+keyword
udemy1_8466,esco_673,0.9839,embedding+keyword
udemy2_3013712,esco_1582,0.9839,embedding+keyword
udemy2_2399720,esco_847,0.9837,embedding
udemy1_44378,esco_903,0.9836,embedding
udemy2_375826,esco_244,0.9835,embedding
udemy2_1691848,esco_730,0.9833,embedding
udemy2_1453213,esco_1582,0.983,embedding+keyword
udemy2_2689000,esco_1582,0.9829,embedding+keyword
udemy2_1434454,esco_224,0.9821,embedding+keyword
udemy1_5107,esco_224,0.9819,embedding+keyword
udemy1_9527,esco_491,0.9819,embedding+keyword
udemy2_3378020,esco_1582,0.9819,embedding+keyword
udemy2_2622558,esco_224,0.9816,embedding+keyword
udemy2_1029430,esco_604,0.9812,embedding
udemy2_1786778,esco_1843,0.9811,embedding+keyword
udemy1_3101,esco_491,0.981,embedding+keyword
udemy2_2399724,esco_491,0.9809,embedding+keyword
udemy2_2871944,esco_1709,0.9809,embedding
udemy2_3118836,esco_305,0.9808,embedding
udemy2_2538676,esco_1582,0.9806,embedding+keyword
udemy1_35100,esco_1751,0.9806,embedding
udemy2_345340,esco_1913,0.9805,embedding+keyword
udemy2_2423040,esco_1582,0.9804,embedding+keyword
udemy2_2363070,esco_1248,0.9803,embedding
udemy2_1514198,esco_1582,0.9801,embedding+keyword
udemy1_8774,esco_491,0.98,embedding+keyword
udemy2_3250456,esco_364,0.9797,embedding
udemy1_40825,esco_1718,0.9796,embedding+keyword
udemy1_35353,esco_1921,0.9796,embedding+keyword
udemy1_8543,esco_1582,0.9796,embedding+keyword
udemy1_44372,esco_1719,0.9796,embedding
udemy1_2497,esco_126,0.9795,embedding+keyword
udemy1_9412,esco_519,0.9791,embedding+keyword
udemy2_1798148,esco_510,0.9791,embedding+keyword
udemy1_5165,esco_1582,0.979,embedding+keyword
udemy1_1907,esco_1582,0.9789,embedding+keyword
udemy1_42742,esco_1653,0.9789,embedding
udemy1_18956,esco_1804,0.9788,embedding+keyword
udemy1_3125,esco_224,0.9787,embedding+keyword
udemy1_4856,esco_491,0.9787,embedding+keyword
udemy2_407084,esco_1483,0.9787,embedding
udemy2_539096,esco_1151,0.9787,embedding
udemy2_509684,esco_491,0.9785,embedding+keyword
udemy1_40351,esco_623,0.9784,embedding
udemy1_2458,esco_224,0.9783,embedding+keyword
udemy1_21739,esco_1229,0.9779,embedding
udemy2_1544524,esco_310,0.9778,embedding
udemy2_856352,esco_305,0.9778,embedding
udemy2_2410886,esco_1709,0.9778,embedding
udemy1_7689,esco_224,0.9778,embedding+keyword
udemy2_2565910,esco_1217,0.9777,embedding+keyword
udemy1_43563,esco_737,0.9774,embedding+keyword
udemy2_2409012,esco_1925,0.9773,embedding
udemy2_2669586,esco_1843,0.9773,embedding+keyword
udemy2_3285646,esco_310,0.9769,embedding
udemy1_2917,esco_1333,0.9769,embedding+keyword
udemy1_5203,esco_491,0.9768,embedding+keyword
udemy2_461906,esco_1360,0.9766,embedding
udemy2_2142312,esco_107,0.9765,embedding+keyword
udemy1_43563,esco_1503,0.9761,embedding
udemy1_36596,esco_107,0.976,embedding
udemy1_2840,esco_1582,0.976,embedding+keyword
udemy2_1891580,esco_538,0.9759,embedding+keyword
udemy2_1541118,esco_224,0.9759,embedding+keyword
udemy1_1932,esco_1582,0.9759,embedding+keyword
udemy2_525156,esco_1483,0.9757,embedding
udemy2_2268302,esco_1344,0.9756,embedding
udemy1_38539,esco_903,0.9756,embedding+keyword
udemy1_36312,esco_1222,0.9755,embedding+keyword
udemy1_5354,esco_604,0.9754,embedding
udemy2_2837620,esco_1713,0.9752,embedding
udemy1_2011,esco_224,0.9751,embedding+keyword
udemy2_2683736,esco_1582,0.975,embedding+keyword
udemy2_2622948,esco_471,0.9749,embedding+keyword
udemy1_2255,esco_1582,0.9748,embedding+keyword
udemy1_13285,esco_1065,0.9748,embedding
udemy1_41602,esco_107,0.9747,embedding
udemy2_2133014,esco_1709,0.9747,embedding
udemy1_3098,esco_491,0.9745,embedding+keyword
udemy1_37221,esco_1921,0.9742,embedding+keyword
udemy1_30367,esco_1949,0.9741,embedding
udemy2_2760858,esco_1344,0.9739,embedding+keyword
udemy2_2970320,esco_1582,0.9739,embedding+keyword
udemy1_43563,esco_1653,0.9737,embedding
udemy1_1641,esco_1582,0.9735,embedding+keyword
udemy1_2877,esco_491,0.9733,embedding+keyword
udemy2_2574898,esco_224,0.9729,embedding+keyword
udemy2_957590,esco_494,0.9727,embedding+keyword
udemy1_7573,esco_1843,0.9726,embedding+keyword
udemy1_44326,esco_1008,0.9725,embedding+keyword
udemy2_1704196,esco_1925,0.9725,embedding+keyword
udemy1_3607,esco_224,0.9724,embedding+keyword
udemy2_3139338,esco_1582,0.9723,embedding+keyword
udemy1_17312,esco_1718,0.9722,embedding+keyword
udemy1_1718,esco_519,0.9719,embedding+keyword
udemy2_1988534,esco_1582,0.9718,embedding+keyword
udemy1_7337,esco_1582,0.9717,embedding+keyword
udemy2_3451848,esco_1582,0.9717,embedding+keyword
udemy2_1978614,esco_1248,0.9716,embedding
udemy2_1823744,esco_891,0.9716,embedding+keyword
udemy2_2452986,esco_847,0.9714,embedding
udemy1_39930,esco_813,0.9713,embedding+keyword
udemy1_40351,esco_252,0.9713,embedding
udemy2_1786486,esco_224,0.971,embedding+keyword
udemy1_2439,esco_538,0.9709,embedding+keyword
udemy2_867896,esco_714,0.9708,embedding+keyword
udemy1_40862,esco_915,0.9705,embedding
udemy1_2285,esco_1582,0.9705,embedding+keyword
udemy1_36220,esco_903,0.9702,embedding+keyword
udemy1_34906,esco_867,0.9701,embedding
udemy1_19807,esco_1229,0.97,embedding
udemy1_36096,esco_1776,0.9697,embedding+keyword
udemy1_1115,esco_1412,0.9696,embedding+keyword
udemy2_1321698,esco_244,0.9694,embedding+keyword
udemy2_2838956,esco_1583,0.9693,embedding
udemy1_4338,esco_491,0.9693,embedding+keyword
udemy1_9893,esco_491,0.9693,embedding+keyword
udemy2_1687478,esco_1709,0.9692,embedding
udemy1_18946,esco_758,0.9692,embedding
udemy2_867896,esco_1483,0.9691,embedding
udemy1_5246,esco_491,0.9688,embedding+keyword
udemy2_1074552,esco_494,0.9687,embedding+keyword
udemy1_34874,esco_1427,0.9687,embedding
udemy1_1758,esco_1843,0.9686,embedding+keyword
udemy1_2975,esco_224,0.9685,embedding+keyword
udemy1_24743,esco_237,0.9683,embedding+keyword
udemy1_6768,esco_491,0.9683,embedding+keyword
udemy2_1397654,esco_156,0.9681,embedding+keyword
udemy1_8240,esco_224,0.9681,embedding+keyword
udemy1_21354,esco_626,0.968,embedding
udemy2_2531774,esco_604,0.968,embedding
udemy2_1105404,esco_219,0.9679,embedding
udemy1_24722,esco_1023,0.9673,embedding+keyword
udemy1_8429,esco_1765,0.9673,embedding+keyword
udemy1_175,esco_491,0.967,embedding+keyword
udemy1_301,esco_1582,0.967,embedding+keyword
udemy2_1049498,esco_1455,0.9669,embedding+keyword
udemy1_6208,esco_129,0.9668,embedding+keyword
udemy1_5351,esco_224,0.9667,embedding+keyword
udemy2_131162,esco_1803,0.9666,embedding
udemy2_989100,esco_510,0.9665,embedding+keyword
udemy2_1192530,esco_1065,0.9664,embedding
udemy1_18956,esco_1088,0.9663,embedding
udemy1_42742,esco_1955,0.9663,embedding
udemy2_3334266,esco_1582,0.9663,embedding+keyword
udemy2_1691462,esco_1582,0.9662,embedding+keyword
udemy1_41017,esco_1718,0.9661,embedding+keyword
udemy2_2413252,esco_438,0.966,embedding
udemy2_2293965,esco_1483,0.9659,embedding+keyword
udemy2_2157870,esco_305,0.9657,embedding
udemy2_1805294,esco_174,0.9654,embedding
udemy2_2419564,esco_1691,0.9653,embedding+keyword
udemy1_6108,esco_224,0.9652,embedding+keyword
udemy1_4293,esco_922,0.9651,embedding
udemy1_3761,esco_1582,0.965,embedding+keyword
udemy2_2940782,esco_1582,0.965,embedding+keyword
udemy1_41848,esco_903,0.9648,embedding+keyword
udemy1_37680,esco_379,0.9647,embedding+keyword
udemy2_2896454,esco_1582,0.9647,embedding+keyword
udemy2_2528864,esco_1582,0.9646,embedding+keyword
udemy1_37505,esco_1789,0.9646,embedding
udemy2_1202986,esco_996,0.9646,embedding
udemy1_39122,esco_1273,0.9645,embedding
udemy2_3146868,esco_224,0.9645,embedding+keyword
udemy1_8438,esco_491,0.9644,embedding+keyword
udemy1_5350,esco_491,0.9643,embedding+keyword
udemy2_881660,esco_730,0.964,embedding
udemy1_27024,esco_85,0.964,embedding+keyword
udemy2_1509282,esco_1762,0.9639,embedding
udemy1_38033,esco_307,0.9637,embedding
udemy1_39676,esco_1955,0.9635,embedding
udemy2_1772534,esco_1582,0.9634,embedding+keyword
udemy1_390,esco_1582,0.9632,embedding+keyword
udemy2_2297278,esco_1582,0.9632,embedding+keyword
udemy1_3386,esco_224,0.963,embedding+keyword
udemy1_38659,esco_903,0.9629,embedding+keyword
udemy1_34944,esco_510,0.9629,embedding+keyword
udemy1_41307,esco_1229,0.9629,embedding
udemy1_42009,esco_903,0.9627,embedding
udemy2_2548061,esco_604,0.9626,embedding
udemy2_1029332,esco_900,0.9625,embedding+keyword
udemy1_3277,esco_295,0.9625,embedding
udemy1_119,esco_1248,0.9624,embedding
udemy2_2212798,esco_494,0.9623,embedding+keyword
udemy1_27564,esco_85,0.9622,embedding+keyword
udemy1_43563,esco_71,0.9622,embedding
udemy2_1942482,esco_1065,0.9621,embedding
udemy1_43374,esco_107,0.9621,embedding
udemy2_1921524,esco_295,0.9621,embedding
udemy1_38697,esco_867,0.962,embedding
udemy2_1214900,esco_1765,0.9619,embedding+keyword
udemy2_2560534,esco_1582,0.9617,embedding+keyword
udemy2_1981706,esco_224,0.9615,embedding+keyword
udemy2_788730,esco_1412,0.9615,embedding+keyword
udemy1_7583,esco_1412,0.9613,embedding+keyword
udemy1_37427,esco_1751,0.9609,embedding+keyword
udemy1_34662,esco_1718,0.9607,embedding+keyword
udemy1_7518,esco_1582,0.9607,embedding+keyword
udemy1_19376,esco_1229,0.9607,embedding
udemy2_2071823,esco_1691,0.9606,embedding
udemy1_1230,esco_847,0.9606,embedding
udemy2_2217660,esco_20,0.9605,embedding
udemy1_34813,esco_1921,0.9605,embedding+keyword
udemy1_4485,esco_692,0.9605,embedding+keyword
udemy2_688598,esco_1582,0.9603,embedding+keyword
udemy1_37842,esco_1696,0.9602,embedding+keyword
udemy2_2651012,esco_219,0.9601,embedding
udemy2_2333440,esco_1455,0.96,embedding+keyword
udemy1_1278,esco_1582,0.96,embedding+keyword
udemy1_9418,esco_956,0.9599,embedding+keyword
udemy2_2266546,esco_1248,0.9599,embedding
udemy1_8012,esco_1582,0.9598,embedding+keyword
udemy2_2211912,esco_604,0.9594,embedding
udemy1_6250,esco_519,0.9591,embedding+keyword
udemy2_776938,esco_1878,0.959,embedding+keyword
udemy2_986264,esco_494,0.9589,embedding+keyword
udemy1_35994,esco_903,0.9589,embedding+keyword
udemy1_6185,esco_1582,0.9589,embedding+keyword
udemy1_2703,esco_224,0.9586,embedding+keyword
udemy1_36183,esco_1328,0.9586,embedding
udemy1_4096,esco_538,0.9584,embedding+keyword
udemy1_39605,esco_813,0.9582,embedding+keyword
udemy1_6411,esco_1344,0.9581,embedding
udemy2_762504,esco_1483,0.9579,embedding+keyword
udemy2_2750890,esco_1582,0.9578,embedding+keyword
udemy2_1901426,esco_1582,0.9577,embedding+keyword
udemy1_8913,esco_491,0.9576,embedding+keyword
udemy1_2078,esco_491,0.9576,embedding+keyword
udemy1_4293,esco_1344,0.9576,embedding+keyword
udemy1_4657,esco_1582,0.9576,embedding+keyword
udemy2_2729762,esco_1483,0.9575,embedding+keyword
udemy1_1782,esco_295,0.9575,embedding
udemy1_38697,esco_119,0.9574,embedding
udemy2_2137360,esco_510,0.9571,embedding+keyword
udemy1_20297,esco_1088,0.9569,embedding
udemy1_2821,esco_996,0.9569,embedding+keyword
udemy2_957902,esco_224,0.9568,embedding+keyword
udemy1_38033,esco_903,0.9566,embedding+keyword
udemy1_1268,esco_1582,0.9566,embedding+keyword
udemy1_2990,esco_1582,0.9565,embedding+keyword
udemy1_42544,esco_1751,0.9562,embedding
udemy1_39888,esco_867,0.9561,embedding
udemy1_3540,esco_491,0.9561,embedding+keyword
udemy1_43768,esco_1327,0.956,embedding
udemy2_2266546,esco_491,0.956,embedding+keyword
udemy1_43333,esco_307,0.9555,embedding
udemy2_1450652,esco_491,0.9554,embedding+keyword
udemy1_925,esco_491,0.9554,embedding+keyword
udemy2_1460560,esco_1878,0.9551,embedding+keyword
udemy2_2966150,esco_219,0.9551,embedding
udemy1_5442,esco_1248,0.955,embedding
udemy2_1502458,esco_107,0.955,embedding
udemy2_543420,esco_1582,0.9549,embedding+keyword
udemy1_854,esco_1582,0.9549,embedding+keyword
udemy1_34909,esco_903,0.9548,embedding+keyword
udemy2_2150122,esco_1582,0.9548,embedding
udemy1_39169,esco_745,0.9546,embedding
udemy1_3596,esco_1582,0.9546,embedding+keyword
udemy2_2363084,esco_996,0.9545,embedding
udemy1_3711,esco_1582,0.9545,embedding+keyword
udemy2_998250,esco_891,0.9544,embedding+keyword
udemy1_35642,esco_1751,0.9543,embedding+keyword
udemy1_28123,esco_952,0.9542,embedding
udemy2_616990,esco_861,0.9542,embedding
udemy1_2578,esco_1248,0.954,embedding
udemy2_62109,esco_124,0.9539,embedding
udemy1_16551,esco_1594,0.9538,embedding
udemy2_2995240,esco_900,0.9538,embedding+keyword
udemy2_965374,esco_109,0.9537,embedding
udemy2_843800,esco_1483,0.9534,embedding+keyword
udemy1_34762,esco_903,0.9533,embedding+keyword
udemy1_39547,esco_1187,0.9532,embedding
