skill_id,esco_uri,skill_label,skill_alias,parent_1,parent_2,parent_3,parent_4,is_green,is_digital,is_language,is_research,demand_frequency,avg_fit_score
esco_15,http://data.europa.eu/esco/isced-f/054,mathematics and statistics,,"natural sciences, mathematics and statistics",knowledge,,,False,False,False,False,1,80.0
esco_16,http://data.europa.eu/esco/isced-f/0541,mathematics,,mathematics and statistics,"natural sciences, mathematics and statistics",knowledge,,False,False,False,False,1,80.0
esco_17,http://data.europa.eu/esco/isced-f/0542,statistics,,mathematics and statistics,"natural sciences, mathematics and statistics",knowledge,,False,False,False,False,2,80.0
esco_18,http://data.europa.eu/esco/isced-f/06,information and communication technologies (icts),,knowledge,,,,False,False,False,False,2,80.0
esco_19,http://data.europa.eu/esco/isced-f/0611,computer use,,information and communication technologies (icts),information and communication technologies (icts),knowledge,,False,False,False,False,65,87.23076923076923
esco_20,http://data.europa.eu/esco/isced-f/0612,database and network design and administration,,information and communication technologies (icts),information and communication technologies (icts),knowledge,,False,False,False,False,1,50.0
esco_21,http://data.europa.eu/esco/isced-f/0613,software and applications development and analysis,,information and communication technologies (icts),information and communication technologies (icts),knowledge,,False,False,False,False,8,61.25
esco_22,http://data.europa.eu/esco/isced-f/071,engineering and engineering trades,,"engineering, manufacturing and construction",knowledge,,,False,False,False,False,18,83.88888888888889
esco_23,http://data.europa.eu/esco/isced-f/0711,chemical engineering and processes,,engineering and engineering trades,"engineering, manufacturing and construction",knowledge,,False,False,False,False,1,100.0
esco_24,http://data.europa.eu/esco/isced-f/073,architecture and construction,,"engineering, manufacturing and construction",knowledge,,,False,False,False,False,13,73.07692307692308
esco_25,http://data.europa.eu/esco/isced-f/0731,architecture and town planning,,architecture and construction,"engineering, manufacturing and construction",knowledge,,False,False,False,False,4,57.5
esco_26,http://data.europa.eu/esco/isced-f/0732,building and civil engineering,,architecture and construction,"engineering, manufacturing and construction",knowledge,,False,False,False,False,8,80.0
esco_27,http://data.europa.eu/esco/isced-f/0812,horticulture,,agriculture,"agriculture, forestry, fisheries and veterinary",knowledge,,False,False,False,False,1,100.0
esco_28,http://data.europa.eu/esco/isced-f/0913,nursing and midwifery,,health,health and welfare,knowledge,,False,False,False,False,1,50.0
esco_29,http://data.europa.eu/esco/isced-f/0915,therapy and rehabilitation,,health,health and welfare,knowledge,,False,False,False,False,2,80.0
esco_30,http://data.europa.eu/esco/isced-f/0916,pharmacy,,health,health and welfare,knowledge,,False,False,False,False,3,100.0
esco_31,http://data.europa.eu/esco/isced-f/092,welfare,,health and welfare,knowledge,,,False,False,False,False,6,86.66666666666667
esco_32,http://data.europa.eu/esco/isced-f/10,services,,knowledge,,,,False,False,False,False,3,60.0
esco_33,http://data.europa.eu/esco/isced-f/1022,occupational health and safety,,hygiene and occupational health services,services,knowledge,,False,False,False,False,9,90.0
esco_34,http://data.europa.eu/esco/isced-f/103,security services,,services,knowledge,,,False,False,False,False,3,80.0
esco_35,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,apply anti-oppressive practices,identify oppression in societies and groups,protecting and enforcing,protecting and enforcing,assisting and caring,skills,False,False,False,False,3,76.66666666666667
esco_36,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,show initiative,take the initiative,taking a proactive approach,self-management skills and competences,transversal skills and competences,,False,False,False,False,30,100.0
esco_37,http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,lead police investigations,manage police investigations,lead others,leading others,social and communication skills and competences,transversal skills and competences,False,False,False,False,4,62.5
esco_38,http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb,influence public policies,convince policymakers to change policies,"advising on legal, regulatory or procedural matters",advising and consulting,"communication, collaboration and creativity",skills,False,False,False,False,1,90.0
esco_39,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,draft scientific or academic papers and technical documentation,create technical documentation,technical or academic writing,writing and composing,"communication, collaboration and creativity",skills,False,False,False,True,5,96.0
esco_40,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incremental development,,software and applications development and analysis,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,1,80.0
esco_41,http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,develop a rehabilitation programme,develop rehabilitation programmes,providing psychological and occupational therapies,providing health care or medical treatments,assisting and caring,skills,False,False,False,False,1,80.0
esco_42,http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521,advise on construction materials,advise about construction materials,advising on products and services,advising and consulting,"communication, collaboration and creativity",skills,False,False,False,False,1,80.0
esco_43,http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba,keep up to date on product knowledge,,monitoring developments in area of expertise,monitoring developments in area of expertise,information skills,skills,False,False,False,False,1,80.0
esco_44,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,network engineering,network architecture,electronics and automation,engineering and engineering trades,"engineering, manufacturing and construction",knowledge,False,True,False,False,7,74.28571428571429
esco_45,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,migrate existing data,,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,skills,False,True,False,False,5,94.0
esco_46,http://data.europa.eu/esco/skill/021a23e1-907e-4627-b05a-555f889cbb65,self-management skills and competences,,transversal skills and competences,,,,False,False,False,False,1,80.0
esco_47,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,define database physical structure,,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,skills,False,True,False,False,1,100.0
esco_48,http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f,geomatics,,earth sciences,physical sciences,"natural sciences, mathematics and statistics",knowledge,False,False,False,False,8,87.5
esco_49,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,follow procedures to control substances hazardous to health,ensure safe use of substances hazardous to health,follow safety precautions in work practices,complying with health and safety procedures,protecting and enforcing,assisting and caring,True,False,False,False,2,90.0
esco_50,http://data.europa.eu/esco/skill/0332f526-6dc0-4f09-8a7c-2b9473c50736,ensure infrastructure accessibility,provide accessible facilities,designing structures or facilities,designing systems and products,"communication, collaboration and creativity",skills,False,False,False,False,3,60.0
esco_51,http://data.europa.eu/esco/skill/03459358-3f0f-4b13-a143-890e2da798d3,configure electronic equipment,configuring electronic equipment,"installing and repairing electrical, electronic and precision equipment","installing, maintaining and repairing electrical, electronic and precision equipment",working with machinery and specialised equipment,skills,False,False,False,False,4,90.0
esco_52,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,collaborating in teams and networks,,social and communication skills and competences,transversal skills and competences,,,False,False,False,False,48,92.91666666666667
esco_53,http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,carry out event management,make event management,planning events and programmes,"organising, planning and scheduling work and activities",management skills,skills,False,False,False,False,2,80.0
esco_54,http://data.europa.eu/esco/skill/03aa85d2-9a67-455f-b901-595e685afdd2,keep sheet records,keeping sheet records,manage quantitative data,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,False,False,False,False,1,80.0
esco_55,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,create solutions to problems,creating solutions to problems,solve problems,dealing with problems,thinking skills and competences,transversal skills and competences,False,False,False,False,13,91.53846153846153
esco_56,http://data.europa.eu/esco/skill/03efa398-a1cc-4589-9c10-84bf10f8d42d,"installing, maintaining and repairing mechanical equipment",,"installing, maintaining and repairing mechanical equipment",working with machinery and specialised equipment,skills,,False,False,False,False,1,80.0
esco_57,http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,criminology,study of criminal behaviour,sociology and cultural studies,social and behavioural sciences,"social sciences, journalism and information",knowledge,False,False,False,False,6,65.0
esco_58,http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,test materials,material testing,testing and analysing substances,"monitoring, inspecting and testing",information skills,skills,False,False,False,False,1,100.0
esco_59,http://data.europa.eu/esco/skill/04455dce-a796-4a1f-bd07-ad42bdbda180,forensic pathology,legal procedures of forensic pathology,medicine,health,health and welfare,knowledge,False,False,False,False,1,80.0
esco_60,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,advise others,guide,supporting others,social and communication skills and competences,transversal skills and competences,,False,False,False,False,2,80.0
esco_61,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,,software and applications development and analysis,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,21,78.0952380952381
esco_62,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,use an application-specific interface,,working with computers,working with computers,working with computers,skills,False,True,False,False,3,80.0
esco_63,http://data.europa.eu/esco/skill/0520d8ba-3c24-4f75-a8b0-f883ddeed82d,audit contractors,assess contractors through auditing,analysing financial and economic data,analysing and evaluating information and data,information skills,skills,False,False,False,False,1,80.0
esco_64,http://data.europa.eu/esco/skill/0550431f-9c8b-4204-9c45-59bc5feacf06,continuous improvement philosophies,continuous improvement processes,management and administration,business and administration,"business, administration and law",knowledge,False,False,False,False,9,93.33333333333333
esco_65,http://data.europa.eu/esco/skill/05bd9f18-370a-4a88-98c7-473cffb7b2ca,produce materials for decision making,,"preparing financial documents, records, reports, or budgets",documenting and recording information,information skills,skills,False,False,False,False,4,80.0
esco_66,http://data.europa.eu/esco/skill/062320e5-79d1-45e8-8b7e-5deeb53279a2,perform online data analysis,undertake online data analysis,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,skills,False,True,False,False,4,77.5
esco_67,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,manage land resources permits,manage permits for land resources,"preparing documentation for contracts, applications, or permits",documenting and recording information,information skills,skills,True,False,False,False,1,80.0
esco_68,http://data.europa.eu/esco/skill/06358891-8424-43c5-891e-d40f226bef40,manage IT security compliances,,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,skills,False,True,False,False,2,90.0
esco_69,http://data.europa.eu/esco/skill/06670261-ea6b-4b52-a915-c7d4ff837f74,identify statistical patterns,identifying statistical patterns,analysing scientific and medical data,analysing and evaluating information and data,information skills,skills,False,False,False,False,3,80.0
esco_70,http://data.europa.eu/esco/skill/06d09f70-6ca8-4078-be72-4c2c2a11ee61,program management,programs management,management and administration,business and administration,"business, administration and law",knowledge,False,False,False,False,36,74.16666666666667
esco_71,http://data.europa.eu/esco/skill/06f46a6e-62d3-4ca0-bedb-cb4c021c14ee,legal studies,the study of law,law,law,"business, administration and law",knowledge,False,False,False,False,3,70.0
esco_72,http://data.europa.eu/esco/skill/071233c4-ad2b-4f50-b79f-768d2231163e,domain name service,DNS server,database and network design and administration,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,1,100.0
esco_73,http://data.europa.eu/esco/skill/0737ad0a-75ac-4696-988b-565820577ac0,use experience map,,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,skills,False,True,False,False,2,80.0
esco_74,http://data.europa.eu/esco/skill/0760bfac-9a03-427a-ad84-ccd33a2f2ae8,mathematical modelling,,mathematics,mathematics and statistics,"natural sciences, mathematics and statistics",knowledge,False,False,False,False,1,80.0
esco_75,http://data.europa.eu/esco/skill/0761f325-13e7-49f4-a41a-ec64ba4e7b9d,manage government-funded programmes,oversee state-funded programmes,"directing, supervising and coordinating projects","organising, planning and scheduling work and activities",management skills,skills,False,False,False,False,2,65.0
esco_76,http://data.europa.eu/esco/skill/0779d482-4154-4fbb-9a22-d9fd89c39d67,"organising, planning and scheduling work and activities",,"organising, planning and scheduling work and activities",management skills,skills,,False,False,False,False,2,100.0
esco_77,http://data.europa.eu/esco/skill/07889c08-7220-47c8-96f7-6068fbea00dc,normalise data,normalize data,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,skills,False,True,False,False,2,90.0
esco_78,http://data.europa.eu/esco/skill/07ba491f-2fd4-4bab-bf52-32934c6f0b9f,work in an international environment,work in an multicultural environment,working in teams,working with others,"communication, collaboration and creativity",skills,False,False,False,False,1,80.0
esco_79,http://data.europa.eu/esco/skill/07d3074b-f5cd-420a-bdf8-c8d643563ea5,respect publication formats,respecting publication formats,writing and composing,writing and composing,"communication, collaboration and creativity",skills,False,False,False,False,2,80.0
esco_80,http://data.europa.eu/esco/skill/07dd856d-6141-48a7-a228-918f88494812,create prototype of user experience solutions,UX,managing information,managing information,information skills,skills,False,True,False,False,2,65.0
esco_81,http://data.europa.eu/esco/skill/07e47d58-dd0e-4302-9e68-70a188e89065,apply system organisational policies,,demonstrate loyalty,following ethical code of conduct,social and communication skills and competences,transversal skills and competences,False,True,False,False,1,80.0
esco_82,http://data.europa.eu/esco/skill/07ebc888-0f3f-46e7-99d2-a7c7ebd7ffe3,property management software,PMS,"hotel, restaurants and catering",personal services,services,knowledge,False,True,False,False,8,97.5
esco_83,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,interpret scientific data to assess water quality,assessing water quality data,analysing scientific and medical data,analysing and evaluating information and data,information skills,skills,True,False,False,False,1,80.0
esco_84,http://data.europa.eu/esco/skill/07f47dea-587c-40c0-990a-6c092cc3e6a4,interviewing,,obtaining information verbally,"communication, collaboration and creativity",skills,,False,False,False,False,7,92.85714285714286
esco_85,http://data.europa.eu/esco/skill/080a3bf6-c8e8-481e-b97e-8fbc964ebab7,typography,,literature and linguistics,languages,arts and humanities,knowledge,False,False,False,False,1,100.0
esco_86,http://data.europa.eu/esco/skill/0815979a-6506-47e2-951c-912414c98cbc,national population census,,sociology and cultural studies,social and behavioural sciences,"social sciences, journalism and information",knowledge,False,False,False,False,1,80.0
esco_87,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,environmental policy,local environmental policy,environmental sciences,environment,"natural sciences, mathematics and statistics",knowledge,True,False,False,False,2,75.0
esco_88,http://data.europa.eu/esco/skill/0823ccef-813f-4f22-afef-ac0d68615e8f,computer simulation,,computer use,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,1,50.0
esco_89,http://data.europa.eu/esco/skill/082967d4-b94c-4305-aa13-35a6aa8c5c7c,cooperate with colleagues,work in cooperation with colleagues,lead others,leading others,social and communication skills and competences,transversal skills and competences,False,False,False,False,1,80.0
esco_90,http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,administer ICT system,administer system,maintain ICT system,use ICT systems,accessing and analysing digital data,accessing and analysing digital data,False,True,False,False,11,83.63636363636364
esco_91,http://data.europa.eu/esco/skill/089ddb19-1c7a-43ff-ba64-070f7ce4787a,warehouse operations,,wholesale and retail sales,business and administration,"business, administration and law",knowledge,False,False,False,False,1,80.0
esco_92,http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,ensure compliance with environmental legislation,ensure compliance with environmental regulations,complying with environmental protection laws and standards,protecting and enforcing,assisting and caring,skills,True,False,False,False,3,90.0
esco_93,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,manage research data,,managing information,managing information,information skills,skills,False,True,False,True,1,80.0
esco_94,http://data.europa.eu/esco/skill/08f0af26-2178-40d2-9267-6d50a7346555,combine business technology with user experience,,analysing business operations,analysing and evaluating information and data,information skills,skills,False,False,False,False,1,50.0
esco_95,http://data.europa.eu/esco/skill/08f85a8c-c50c-4c97-b456-2fdda7f6a973,preventive medicine,preventative medicine,medicine,health,health and welfare,knowledge,False,False,False,False,6,83.33333333333333
esco_96,http://data.europa.eu/esco/skill/095fdace-1cc3-4e80-b37b-268fe297904a,prepare audit activities,,process qualitative information,analysing and evaluating information and data,analysing and evaluating information and data,information skills,False,False,False,False,1,80.0
esco_97,http://data.europa.eu/esco/skill/097098fc-6d89-44e9-9305-98ac5c0a78ac,educate on the prevention of illness,,training on health or medical topics,teaching and training,"communication, collaboration and creativity",skills,False,False,False,False,5,80.0
esco_98,http://data.europa.eu/esco/skill/09f2f811-a3fb-4de3-a70f-6420a6935575,systems development life-cycle,application development life-cycle,software and applications development and analysis,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,15,84.0
esco_99,http://data.europa.eu/esco/skill/0a0532c2-ee60-4410-8e07-70e4d69370ec,operate automated process control,perform automated process control,operating precision industrial equipment,using precision instrumentation and equipment,working with machinery and specialised equipment,skills,False,True,False,False,1,80.0
esco_100,http://data.europa.eu/esco/skill/0a099c81-6a0c-4f00-bb3b-990d23ec03a5,manage ICT change request process,,directing operational activities,"organising, planning and scheduling work and activities",management skills,skills,False,True,False,False,1,80.0
esco_101,http://data.europa.eu/esco/skill/0a400212-8693-4b1f-b0ca-d1f82c321916,providing health care or medical treatments,,providing health care or medical treatments,assisting and caring,skills,,False,False,False,False,2,80.0
esco_102,http://data.europa.eu/esco/skill/0a43729f-2a79-4dae-9faa-95520daae79f,apply company policies,applying company policies,complying with operational procedures,protecting and enforcing,assisting and caring,skills,False,False,False,False,5,84.0
esco_103,http://data.europa.eu/esco/skill/0a48d064-dd04-47fb-a00d-85e9b4874033,business management principles,,lead others,leading others,social and communication skills and competences,transversal skills and competences,False,False,False,False,2,65.0
esco_104,http://data.europa.eu/esco/skill/0a4c5823-8b09-4e6b-95b4-8036ef3b9c4c,advocating for individual or community needs,,liaising and networking,"communication, collaboration and creativity",skills,,False,False,False,False,1,90.0
esco_105,http://data.europa.eu/esco/skill/0a71a150-17fd-448e-a5b8-19fbea76d569,develop urban transport studies,,analyse transport studies,analysing business operations,analysing and evaluating information and data,information skills,False,False,False,False,2,80.0
esco_106,http://data.europa.eu/esco/skill/0a9244d7-00a9-46d6-8ea9-77a63567522b,send summons,,performing general clerical and administrative tasks,performing administrative activities,management skills,skills,False,False,False,False,1,80.0
esco_107,http://data.europa.eu/esco/skill/0a9acb6b-1139-4be9-b431-3a80a959f2f4,Agile project management,Agile management software,ICT project management methodologies,management and administration,business and administration,"business, administration and law",False,True,False,False,9,84.44444444444444
esco_108,http://data.europa.eu/esco/skill/0aa02c52-077d-45f8-8c2d-7132c11ac16e,carry out strategic research,carry out a research strategy,conducting academic or market research,"conducting studies, investigations and examinations",information skills,skills,False,False,False,False,4,80.0
esco_109,http://data.europa.eu/esco/skill/0ab03c6c-281b-48f4-83e0-10eeb27a1bae,network management system tools,,database and network design and administration,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,2,80.0
esco_110,http://data.europa.eu/esco/skill/0ab07923-f350-4a3c-bbea-3017d756c409,communicate regulations,communicating regulations,"advising on legal, regulatory or procedural matters",advising and consulting,"communication, collaboration and creativity",skills,False,False,False,False,7,64.28571428571429
esco_111,http://data.europa.eu/esco/skill/0af062de-eb43-41e9-9b96-249e2cd22d26,use markup languages,use HTML,programming computer systems,programming computer systems,working with computers,skills,False,True,False,False,16,91.25
esco_112,http://data.europa.eu/esco/skill/0afb2715-a6ee-4ad9-ac8a-fb904dd99b61,participate in governmental tenders,participating in governmental tenders,technical or academic writing,writing and composing,"communication, collaboration and creativity",skills,False,False,False,False,1,80.0
esco_113,http://data.europa.eu/esco/skill/0b144726-21c2-46ed-8d13-c03d27f61604,perform multiple tasks at the same time,perform multitasking activities,"organising, planning and scheduling work and activities","organising, planning and scheduling work and activities",management skills,skills,False,False,False,False,179,96.75977653631286
esco_114,http://data.europa.eu/esco/skill/0b4c6885-eecd-48b5-b9da-c5c20a5f9550,monitor utility equipment,monitoring utility equipment,monitor equipment condition,installing wooden and metal components,building and repairing structures,constructing,False,False,False,False,1,50.0
esco_115,http://data.europa.eu/esco/skill/0b4fa617-f80f-426f-b7b1-e65234493983,investigate human rights violations,inspect human rights violations,carrying out forensic and police investigations,"conducting studies, investigations and examinations",information skills,skills,False,False,False,False,3,60.0
esco_116,http://data.europa.eu/esco/skill/0b6cc8e4-b34d-4631-9061-3ba839ecc640,report on grants,,report facts,communicating,social and communication skills and competences,transversal skills and competences,False,False,False,False,1,80.0
esco_117,http://data.europa.eu/esco/skill/0b917c3e-e49f-40d9-8f95-3bc8e9c06fd2,perform laboratory tests,,operating scientific and laboratory equipment,using precision instrumentation and equipment,working with machinery and specialised equipment,skills,False,False,False,False,5,72.0
esco_118,http://data.europa.eu/esco/skill/0bc42cda-a6f0-4cac-9b34-7911faba0bd4,microbiology-bacteriology,microbiology,biology,biological and related sciences,"natural sciences, mathematics and statistics",knowledge,False,False,False,False,3,80.0
esco_119,http://data.europa.eu/esco/skill/0bca9840-478a-40fd-a6c3-c8cc923add98,develop management plans,developing management plans,"developing financial, business or marketing plans",developing objectives and strategies,management skills,skills,True,False,False,False,2,65.0
esco_120,http://data.europa.eu/esco/skill/0bd4c62a-c309-467e-be76-8403b3f3a1a8,financial products,financial instruments,"finance, banking and insurance",business and administration,"business, administration and law",knowledge,False,False,False,False,1,80.0
esco_121,http://data.europa.eu/esco/skill/0c15aa34-6977-4da7-b1f0-2ba6a582ef1b,monitor logging operations,reviewing logging operations,monitoring operational activities,"monitoring, inspecting and testing",information skills,skills,False,False,False,False,2,65.0
esco_122,http://data.europa.eu/esco/skill/0c33d03f-9696-44ff-9c1a-7f4296ee3335,rehearse role,rehearse roles,performing artistic or cultural activities,performing and entertaining,"communication, collaboration and creativity",skills,False,False,False,False,2,50.0
esco_123,http://data.europa.eu/esco/skill/0c577318-e850-4b3b-aa7c-c196abe4cba6,liaise with specialist contractors for well operations,creating business relationships with specialist contractors,collaborating and liaising,liaising and networking,"communication, collaboration and creativity",skills,False,False,False,False,1,80.0
esco_124,http://data.europa.eu/esco/skill/0c766ca3-9364-4203-916b-fed16e4814c1,gather data for forensic purposes,,use data processing techniques,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,False,False,False,False,1,80.0
esco_125,http://data.europa.eu/esco/skill/0c92c33c-2859-4705-87ae-4fdd71d0f8f6,using more than one language,,using more than one language,"communication, collaboration and creativity",skills,,False,False,False,False,1,100.0
esco_126,http://data.europa.eu/esco/skill/0ccdfe98-f845-4598-84a1-3dca66e9d9a3,Ruby (computer programming),Ruby,software and applications development and analysis,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,3,83.33333333333333
esco_127,http://data.europa.eu/esco/skill/0cd07ad3-642c-4073-812f-3842dffcd920,procedural law,,law,law,"business, administration and law",knowledge,False,False,False,False,3,80.0
esco_128,http://data.europa.eu/esco/skill/0cfc7eb9-2891-4153-b335-6331f381ff05,communicate health and safety measures,,follow safety precautions in work practices,complying with health and safety procedures,protecting and enforcing,assisting and caring,False,False,False,False,1,80.0
esco_129,http://data.europa.eu/esco/skill/0d168770-4d9c-4096-b048-a6577818d306,Apache Maven,,software and applications development and analysis,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,1,80.0
esco_130,http://data.europa.eu/esco/skill/0d282d6e-8cb9-4339-8e7d-cfafed96b5ed,conduct literature research,reviewing literature,conducting academic or market research,"conducting studies, investigations and examinations",information skills,skills,False,False,False,False,7,88.57142857142857
esco_131,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79,gather data,gathering data,use data processing techniques,"managing, gathering and storing digital data",accessing and analysing digital data,working with computers,False,True,False,False,25,92.4
esco_132,http://data.europa.eu/esco/skill/0d73a5c0-7f95-4ede-92f3-eac434a970a9,marine engineering,,building and civil engineering,architecture and construction,"engineering, manufacturing and construction",knowledge,False,False,False,False,1,100.0
esco_133,http://data.europa.eu/esco/skill/0d7f2cce-245a-4d02-9b8d-2e9946cc4c5d,deliver online training,,instruct others,supporting others,social and communication skills and competences,transversal skills and competences,False,True,False,False,1,70.0
esco_134,http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,negotiating and managing contracts and agreements,,negotiating,"communication, collaboration and creativity",skills,,False,False,False,False,19,85.26315789473684
esco_135,http://data.europa.eu/esco/skill/0d8223a2-8a72-4895-aa40-db84c7c64335,operate cutting equipment,use cutting equipment,use cutting equipment,cutting materials and drilling holes,using hand tools,handling and moving,False,False,False,False,1,80.0
esco_136,http://data.europa.eu/esco/skill/0d9c959a-cdd4-41f7-aa82-5e2e25b27e3f,social work theory,fundamentals of social work,social work and counselling,welfare,health and welfare,knowledge,False,False,False,False,1,80.0
esco_137,http://data.europa.eu/esco/skill/0da516ee-e70e-4384-be13-f5ff80be8127,communicate with customers,interact with customers,establish customer rapport,developing professional relationships or networks,liaising and networking,"communication, collaboration and creativity",False,False,False,False,3,93.33333333333333
esco_138,http://data.europa.eu/esco/skill/0da6cab1-0ee9-4391-a299-f71fbf21db56,ICT network routing,,database and network design and administration,information and communication technologies (icts),information and communication technologies (icts),knowledge,False,True,False,False,2,90.0
esco_139,http://data.europa.eu/esco/skill/0dc7aa1b-b5af-4f4b-81ce-ee22ed8b6926,assess ICT knowledge,,monitoring and evaluating the performance of individuals,supervising people,management skills,skills,False,True,False,False,2,75.0
esco_140,http://data.europa.eu/esco/skill/0e161427-3369-47c0-8669-9e226207f6d0,discern written communication,understand written communication,"communication, collaboration and creativity","communication, collaboration and creativity","communication, collaboration and creativity",skills,False,False,False,False,298,85.77181208053692
esco_141,http://data.europa.eu/esco/skill/0e1fe34b-f4e7-4642-8c8b-5a05ac3438e5,manage schedule of tasks,task management,manage time,working efficiently,self-management skills and competences,transversal skills and competences,False,False,False,False,32,82.5
